['Madagascar', 'Sulfate', -2],
['Germany', 'Sulfate', -2],
['Uruguay', 'Sulfate', -4],
['Togo', 'Sulfate', -4],
['Solomon Islands', 'Sulfate', 0],
['Tunisia', 'Sulfate', -2],
['Cuba', 'Sulfate', -1],
['St. Vincent and the Grenadines', 'Sulfate', -3],
['St. Lucia', 'Sulfate', -3],
['Tonga', 'Sulfate', -4],
['Uzbekistan', 'Sulfate', -2],
['Pakistan', 'Sulfate', -1],
['Gaza Strip', 'Sulfate', -2],
['Bangladesh', 'Sulfate', -2],
['Central African Republic', 'Sulfate', -3],
['Bermuda', 'Sulfate', -2],
['Mali', 'Sulfate', -3],
['Bulgaria', 'Sulfate', -6],
['Isle of Man', 'Sulfate', -3],
['Sierra Leone', 'Sulfate', -2],
['Iraq-Saudi Arabia Neutral Zone', 'Sulfate', -3],
['Mongolia', 'Sulfate', -5],
['Slovenia', 'Sulfate', -3],
['Malaysia', 'Sulfate', -1],
['India', 'Sulfate', -2],
['Reunion', 'Sulfate', -4],
['Myanmar (Burma)', 'Sulfate', -2],
['Guinea', 'Sulfate', -2],
['St. Christopher-Nevis', 'Sulfate', -2],
['Zaire', 'Sulfate', -4],
['Svalbard', 'Sulfate', -8],
['Malta', 'Sulfate', -1],
['Montenegro', 'Sulfate', -4],
['Grenada', 'Sulfate', -3],
['Luxembourg', 'Sulfate', -1],
['Tajikistan', 'Sulfate', -1],
['Equatorial Guinea', 'Sulfate', -2],
['Japan', 'Sulfate', -3],
['Djibouti', 'Sulfate', -4],
['Falkland Islands (Islas Malvinas)', 'Sulfate', -4],
['Lithuania', 'Sulfate', -2],
['Andorra', 'Sulfate', -2],
['Bahrain', 'Sulfate', -3],
['Oman', 'Sulfate', -3],
['Vietnam', 'Sulfate', -2],
['Macau', 'Sulfate', -2],
['Western Samoa', 'Sulfate', -1],
['Malawi', 'Sulfate', -4],
['Libya', 'Sulfate', -4],
['New Zealand', 'Sulfate', -6],
['Dominican Republic', 'Sulfate', -1],
['Czech Republic', 'Sulfate', -2],
['Jordan', 'Sulfate', -2],
['Saudi Arabia', 'Sulfate', -3],
['Egypt', 'Sulfate', -3],
['Russia', 'Sulfate', -4],
['Lesotho', 'Sulfate', -4],
['Angola', 'Sulfate', -4],
['Botswana', 'Organic Carbon', -8],
['Brazil', 'Organic Carbon', -9],
['Ivory Coast', 'Organic Carbon', -9],
['Barbados', 'Organic Carbon', -9],
['Costa Rica', 'Organic Carbon', -9],
['Sao Tome and Principe', 'Organic Carbon', -8],
['Moldova', 'Organic Carbon', -13],
['San Marino', 'Organic Carbon', -8],
['Chad', 'Organic Carbon', -10],
['Ireland', 'Organic Carbon', -12],
['Sri Lanka', 'Organic Carbon', -11],
['Bhutan', 'Organic Carbon', -6],
['Liberia', 'Organic Carbon', -8],
['Nepal', 'Organic Carbon', -6],
['Romania', 'Organic Carbon', -12],
['United Kingdom', 'Organic Carbon', -11],
['Zimbabwe', 'Organic Carbon', -7],
['Ecuador', 'Organic Carbon', -8],
['Namibia', 'Organic Carbon', -10],
['Iceland', 'Organic Carbon', -12],
['Guinea-Bissau', 'Organic Carbon', -10],
['Greece', 'Organic Carbon', -8],
['Indonesia', 'Organic Carbon', -9],
['Burundi', 'Organic Carbon', -8],
['Ukraine', 'Organic Carbon', -12],
['Switzerland', 'Organic Carbon', -10],
['Israel', 'Organic Carbon', -6],
['El Salvador', 'Organic Carbon', -10],
['Mauritania', 'Organic Carbon', -11],
['Portugal', 'Organic Carbon', -8],
['Yemen', 'Organic Carbon', -9],
['United Arab Emirates', 'Organic Carbon', -7],
['Lebanon', 'Organic Carbon', -6],
['Armenia', 'Organic Carbon', -7],
['French Polynesia', 'Organic Carbon', -7],
['Venezuela', 'Organic Carbon', -9],
['Turks and Caicos Islands', 'Organic Carbon', -7],
['Benin', 'Organic Carbon', -11],
['Peru', 'Organic Carbon', -10],
['Haiti', 'Organic Carbon', -7],
['Bosnia and Herzegovina', 'Organic Carbon', -9],
['Brunei', 'Organic Carbon', -10],
['Morocco', 'Organic Carbon', -7],
['China', 'Organic Carbon', -12],
['Yugoslavia', 'Organic Carbon', -10],
['Iran', 'Organic Carbon', -5],
['Cyprus', 'Organic Carbon', -6],
['Eritrea', 'Organic Carbon', -9],
['Spain', 'Organic Carbon', -8],
['Honduras', 'Organic Carbon', -10],
['New Caledonia', 'Organic Carbon', -10],
['Austria', 'Organic Carbon', -12],
['Netherlands', 'Organic Carbon', -12],
['Rwanda', 'Organic Carbon', -8],
['Georgia', 'Organic Carbon', -9],
['Cambodia', 'Organic Carbon', -11],
['Thailand', 'Organic Carbon', -10],
['Cape Verde', 'Organic Carbon', -11],
['Mexico', 'Organic Carbon', -12],
['Antarctica', 'Organic Carbon', 4],
['Comoros', 'Organic Carbon', -8],
['Gambia, The', 'Organic Carbon', -11],
['Seychelles', 'Organic Carbon', -10],
['Italy', 'Organic Carbon', -8],
['Fiji', 'Organic Carbon', -9],
['Kerguelen', 'Organic Carbon', #VALUE!],
['Canada', 'Organic Carbon', -8],
['Ethiopia', 'Organic Carbon', -9],
['Maldives', 'Organic Carbon', -11],
['Bolivia', 'Organic Carbon', -11],
['Nicaragua', 'Organic Carbon', -9],
['Panama', 'Organic Carbon', -9],
['Ghana', 'Organic Carbon', -10],
['Timor-Leste', 'Organic Carbon', -10],
['Poland', 'Organic Carbon', -13],
['United States', 'Organic Carbon', -10],
['Guyana', 'Organic Carbon', -8],
['South Africa', 'Organic Carbon', -8],
['Tanzania, United Republic of', 'Organic Carbon', -8],
['Australia', 'Organic Carbon', -10],
['Colombia', 'Organic Carbon', -8],
['Algeria', 'Organic Carbon', -6],
['Philippines', 'Organic Carbon', -10],
['Belgium', 'Organic Carbon', -12],
['Martinique', 'Organic Carbon', -9],
['Puerto Rico', 'Organic Carbon', -7],
['Niger', 'Organic Carbon', -9],
['Bahamas, The', 'Organic Carbon', -8],
['Western Sahara', 'Organic Carbon', -11],
['Kenya', 'Organic Carbon', -7],
['Zambia', 'Organic Carbon', -8],
['Singapore', 'Organic Carbon', -11],
['Dominica', 'Organic Carbon', -8],
['Jamaica', 'Organic Carbon', -7],
['Syria', 'Organic Carbon', -6],
['Belize', 'Organic Carbon', -9],
['Macedonia', 'Organic Carbon', -10],
